Berlin, Stadt;10178;  891,12;3 574 830;1 755 700;1 819 130
Hamburg, Freie und Hansestadt;20038;  755,30;1 810 438; 886 289; 924 149
München, Landeshauptstadt;80331;  310,71;1 464 301; 714 112; 750 189
Köln, Stadt;50667;  405,02;1 075 935; 524 790; 551 145
Frankfurt am Main, Stadt;60311;  248,31; 736 414; 363 754; 372 660
Stuttgart, Landeshauptstadt;70173;  207,33; 628 032; 313 295; 314 737
Düsseldorf, Stadt;40213;  217,41; 613 230; 296 231; 316 999
Dortmund, Stadt;44135;  280,71; 585 813; 287 897; 297 916
Essen, Stadt;45127;  210,34; 583 084; 283 065; 300 019
Leipzig, Stadt;04109;  297,80; 571 088; 280 292; 290 796
Bremen, Stadt;28195;  326,18; 565 719; 279 170; 286 549
Dresden, Stadt;01067;  328,48; 547 172; 272 398; 274 774
Hannover, Landeshauptstadt;30159;  204,30; 532 864; 259 559; 273 305
Nürnberg;90403;  186,45; 511 628; 248 451; 263 177
Duisburg, Stadt;47051;  232,80; 499 845; 247 099; 252 746
Bochum, Stadt;44787;  145,66; 364 920; 177 592; 187 328
Wuppertal, Stadt;42275;  168,39; 352 390; 172 255; 180 135
Bielefeld, Stadt;33602;  258,82; 333 451; 161 109; 172 342
Bonn, Stadt;53111;  141,06; 322 125; 153 493; 168 632
Münster, Stadt;48143;  303,28; 311 846; 149 412; 162 434
Karlsruhe, Stadt;76133;  173,42; 309 999; 158 207; 151 792
Mannheim, Universitätsstadt;68159;  144,97; 304 781; 152 203; 152 578
Augsburg;86150;  146,87; 289 584; 142 033; 147 551
Wiesbaden, Landeshauptstadt;65183;  203,93; 277 619; 132 595; 145 024
Gelsenkirchen, Stadt;45879;  104,94; 262 528; 130 776; 131 752
Mönchengladbach, Stadt;41061;  170,47; 260 925; 128 169; 132 756
Braunschweig, Stadt;38100;  192,70; 248 667; 122 814; 125 853
Kiel, Landeshauptstadt;24103;  118,65; 247 441; 120 473; 126 968
Chemnitz, Stadt;09111;  221,05; 246 353; 121 279; 125 074
Aachen, Stadt;52062;  160,85; 244 951; 127 246; 117 705
Magdeburg, Landeshauptstadt;39104;  201,01; 238 136; 117 527; 120 609
Halle (Saale), Stadt;06108;  135,02; 238 005; 115 198; 122 807
Freiburg im Breisgau, Stadt;79098;  153,04; 227 590; 108 503; 119 087
Krefeld, Stadt;47803;  137,77; 226 812; 110 593; 116 219
Lübeck, Hansestadt;23539;  214,21; 216 712; 103 921; 112 791
Mainz, Stadt;55116;  97,73; 213 528; 103 861; 109 667
Oberhausen, Stadt;46045;  77,09; 211 382; 103 720; 107 662
Erfurt, Stadt;99084;  269,91; 211 113; 102 577; 108 536
Rostock, Hansestadt;18055;  181,36; 207 513; 102 082; 105 431
Kassel, documenta-Stadt;34117;  106,78; 199 062; 97 228; 101 834
Hagen, Stadt der FernUniversität;58095;  160,45; 188 266; 91 677; 96 589
Saarbrücken, Landeshauptstadt;66111;  167,52; 179 709; 89 041; 90 668
Hamm, Stadt;59065;  226,43; 179 571; 88 209; 91 362
Potsdam, Stadt;14461;  188,26; 171 810; 83 060; 88 750
Mülheim an der Ruhr, Stadt;45468;  91,28; 170 936; 82 431; 88 505
Ludwigshafen am Rhein, Stadt;67059;  77,43; 166 621; 82 629; 83 992
Oldenburg (Oldenburg), Stadt;26122;  103,09; 165 711; 79 125; 86 586
Osnabrück, Stadt;49074;  119,80; 164 070; 79 430; 84 640
Leverkusen, Stadt;51373;  78,87; 163 113; 79 343; 83 770
Heidelberg, Stadt;69117;  108,89; 159 914; 77 167; 82 747
Solingen, Klingenstadt;42651;  89,54; 158 908; 77 127; 81 781
Darmstadt, Wissenschaftsstadt;64283;  122,09; 157 437; 80 183; 77 254
Herne, Stadt;44623;  51,42; 156 774; 76 745; 80 029
Neuss, Stadt;41460;  99,52; 152 882; 74 085; 78 797
Paderborn, Stadt;33098;  179,59; 148 677; 73 899; 74 778
Regensburg;93047;  80,85; 148 638; 71 800; 76 838
Ingolstadt;85049;  133,35; 133 639; 67 383; 66 256
Würzburg;97070;  87,60; 126 010; 59 978; 66 032
Fürth;90762;  63,35; 125 403; 61 372; 64 031
Offenbach am Main, Stadt;63065;  44,89; 124 589; 61 529; 63 060
Ulm, Universitätsstadt;89073;  118,68; 123 953; 61 244; 62 709
Wolfsburg, Stadt;38440;  204,61; 123 909; 61 644; 62 265
Heilbronn, Stadt;74072;  99,89; 123 771; 62 188; 61 583
Pforzheim, Stadt;75175;  98,07; 123 493; 60 582; 62 911
Göttingen, Stadt;37083;  116,93; 119 177; 57 943; 61 234
Bottrop, Stadt;46236;  100,61; 117 409; 57 195; 60 214
Reutlingen, Stadt;72764;  87,04; 115 006; 56 748; 58 258
Recklinghausen, Stadt;45657;  66,50; 114 003; 55 494; 58 509
Koblenz, Stadt;56068;  105,25; 113 605; 55 055; 58 550
Bremerhaven, Stadt;27576;  93,66; 113 034; 56 304; 56 730
Bergisch Gladbach, Stadt;51465;  83,09; 111 341; 53 499; 57 842
Remscheid, Stadt;42853;  74,52; 110 611; 54 533; 56 078
Jena, Stadt;07743;  114,76; 110 321; 54 968; 55 353
Erlangen;91052;  76,96; 110 238; 54 603; 55 635
Trier, Stadt;54290;  117,07; 110 111; 54 231; 55 880
Moers, Stadt;47441;  67,68; 103 881; 50 413; 53 468
Salzgitter, Stadt;38226;  224,49; 103 668; 51 528; 52 140
Siegen, Universitätsstadt;57072;  114,69; 101 863; 49 735; 52 128
Hildesheim, Stadt;31134;  92,29; 101 687; 48 241; 53 446
Cottbus, Stadt;03046;  165,62; 100 416; 49 542; 50 874
Kaiserslautern, Stadt;67657;  139,70; 99 302; 50 008; 49 294
Gütersloh, Stadt;33330;  112,02; 98 466; 48 898; 49 568
Witten, Stadt;58452;  72,40; 96 781; 47 105; 49 676
Schwerin, Landeshauptstadt;19053;  130,52; 95 668; 46 111; 49 557
